arm,pair,rep,iid,nonempty,gold_hit,resolved
B,15268_16819,2,django__django-16819,True,False,False
B,11815_12125,2,django__django-12125,True,False,False
B,12125_14580,2,django__django-14580,True,False,False
B,13343_16493,2,django__django-16493,False,False,False
B,15161_17087,2,django__django-17087,True,False,False
B,3305_4687,3,pydata__xarray-4687,False,False,False
B,4687_6461,3,pydata__xarray-6461,False,False,False
B,6461_7229,3,pydata__xarray-7229,True,True,False
B,4629_7229,3,pydata__xarray-7229,True,True,False
B,13786_15499,3,django__django-15499,True,True,False
B,15499_16595,3,django__django-16595,False,False,False
B,16595_16819,3,django__django-16819,True,False,False
B,15268_16819,3,django__django-16819,True,False,False
B,11815_12125,3,django__django-12125,True,False,False
B,12125_14580,3,django__django-14580,True,False,False
B,13343_16493,3,django__django-16493,False,False,False
B,15161_17087,3,django__django-17087,True,False,False
B,3305_4687,4,pydata__xarray-4687,False,False,False
B,4687_6461,4,pydata__xarray-6461,False,False,False
B,6461_7229,4,pydata__xarray-7229,True,True,False
B,4629_7229,4,pydata__xarray-7229,True,True,False
B,13786_15499,4,django__django-15499,True,True,False
B,15499_16595,4,django__django-16595,False,False,False
B,16595_16819,4,django__django-16819,True,False,False
B,15268_16819,4,django__django-16819,True,False,False
B,11815_12125,4,django__django-12125,True,False,False
B,12125_14580,4,django__django-14580,True,False,False
B,13343_16493,4,django__django-16493,False,False,False
B,15161_17087,4,django__django-17087,True,False,False
B,3305_4687,5,pydata__xarray-4687,False,False,False
B,4687_6461,5,pydata__xarray-6461,False,False,False
B,6461_7229,5,pydata__xarray-7229,True,True,False
B,4629_7229,5,pydata__xarray-7229,True,True,False
B,13786_15499,5,django__django-15499,True,True,False
B,15499_16595,5,django__django-16595,False,False,False
B,16595_16819,5,django__django-16819,True,False,False
B,15268_16819,5,django__django-16819,True,False,False
B,11815_12125,5,django__django-12125,True,False,False
B,12125_14580,5,django__django-14580,True,False,False
B,13343_16493,5,django__django-16493,False,False,False
B,15161_17087,5,django__django-17087,True,False,False
Do,3305_4687,1,pydata__xarray-4687,True,True,False
Do,4687_6461,1,pydata__xarray-6461,True,True,True
Do,6461_7229,1,pydata__xarray-7229,True,True,False
Do,4629_7229,1,pydata__xarray-7229,True,False,False
Do,13786_15499,1,django__django-15499,True,True,False
Do,15499_16595,1,django__django-16595,True,True,False
Do,16595_16819,1,django__django-16819,True,True,False
Do,15268_16819,1,django__django-16819,True,False,False
Do,11815_12125,1,django__django-12125,True,False,False
Do,12125_14580,1,django__django-14580,True,False,False
Do,13343_16493,1,django__django-16493,False,False,False
Do,15161_17087,1,django__django-17087,False,False,False
Do,3305_4687,2,pydata__xarray-4687,True,True,False
Do,4687_6461,2,pydata__xarray-6461,True,True,True
Do,6461_7229,2,pydata__xarray-7229,True,True,False
Do,4629_7229,2,pydata__xarray-7229,True,False,False
Do,13786_15499,2,django__django-15499,True,True,False
Do,15499_16595,2,django__django-16595,True,True,False
Do,16595_16819,2,django__django-16819,True,True,False
Do,15268_16819,2,django__django-16819,True,True,False
Do,11815_12125,2,django__django-12125,True,False,False
Do,12125_14580,2,django__django-14580,True,False,False
Do,13343_16493,2,django__django-16493,False,False,False
Do,15161_17087,2,django__django-17087,False,False,False
Do,3305_4687,3,pydata__xarray-4687,True,True,False
Do,4687_6461,3,pydata__xarray-6461,True,True,True
Do,6461_7229,3,pydata__xarray-7229,True,True,False
Do,4629_7229,3,pydata__xarray-7229,True,False,False
Do,13786_15499,3,django__django-15499,True,True,False
Do,15499_16595,3,django__django-16595,True,True,False
Do,16595_16819,3,django__django-16819,True,True,False
Do,15268_16819,3,django__django-16819,True,True,False
Do,11815_12125,3,django__django-12125,True,False,False
Do,12125_14580,3,django__django-14580,True,False,False
Do,13343_16493,3,django__django-16493,False,False,False
Do,15161_17087,3,django__django-17087,False,False,False
Do,3305_4687,4,pydata__xarray-4687,True,True,False
Do,4687_6461,4,pydata__xarray-6461,True,True,True
Do,6461_7229,4,pydata__xarray-7229,True,True,False
Do,4629_7229,4,pydata__xarray-7229,True,False,False
Do,13786_15499,4,django__django-15499,True,True,False
Do,15499_16595,4,django__django-16595,True,True,False
Do,16595_16819,4,django__django-16819,True,True,False
Do,15268_16819,4,django__django-16819,True,True,False
Do,11815_12125,4,django__django-12125,True,False,False
Do,12125_14580,4,django__django-14580,True,False,False
Do,13343_16493,4,django__django-16493,False,False,False
Do,15161_17087,4,django__django-17087,False,False,False
Do,3305_4687,5,pydata__xarray-4687,True,True,False
Do,4687_6461,5,pydata__xarray-6461,True,True,True
Do,6461_7229,5,pydata__xarray-7229,True,True,False
Do,4629_7229,5,pydata__xarray-7229,True,False,False
Do,13786_15499,5,django__django-15499,True,True,False
Do,15499_16595,5,django__django-16595,True,True,False
Do,16595_16819,5,django__django-16819,True,True,False
Do,15268_16819,5,django__django-16819,True,True,False
Do,11815_12125,5,django__django-12125,True,False,False
Do,12125_14580,5,django__django-14580,True,False,False
Do,13343_16493,5,django__django-16493,False,False,False
Do,15161_17087,5,django__django-17087,False,False,False
