arm,rep,iid,repo,gold_hit,submitted,consulted,deep_read,read_before_edit,prompt_tokens,completion_tokens,ctx_tokens
B,1,django__django-15563,django,0,0,0,0,0,53861,3094,0
B,1,django__django-15695,django,0,1,0,0,0,24892,2068,0
B,1,django__django-15731,django,1,1,0,0,0,15706,1847,0
B,1,django__django-15814,django,1,1,0,0,0,7119,623,0
B,1,django__django-15957,django,0,1,0,0,0,23283,1909,0
B,1,django__django-16100,django,0,0,0,0,0,62989,4108,0
B,1,django__django-16116,django,1,1,0,0,0,14606,2519,0
B,1,django__django-16136,django,0,1,0,0,0,19861,1864,0
B,1,django__django-16454,django,1,1,0,0,0,37170,4122,0
B,1,django__django-16502,django,0,1,0,0,0,64564,3132,0
B,1,django__django-16631,django,0,0,0,0,0,57835,3083,0
B,1,django__django-16667,django,1,1,0,0,0,8254,933,0
B,1,django__django-17084,django,0,0,0,0,0,41263,2227,0
B,1,matplotlib__matplotlib-13989,matplotlib,1,1,0,0,0,31934,1895,0
B,1,matplotlib__matplotlib-14623,matplotlib,0,0,0,0,0,68486,2360,0
B,1,matplotlib__matplotlib-20488,matplotlib,0,0,0,0,0,25375,2601,0
B,1,matplotlib__matplotlib-20676,matplotlib,0,0,0,0,0,128195,6710,0
B,1,matplotlib__matplotlib-20826,matplotlib,0,0,0,0,0,67949,2432,0
B,1,matplotlib__matplotlib-20859,matplotlib,0,0,0,0,0,70579,4919,0
B,1,matplotlib__matplotlib-21568,matplotlib,1,1,0,0,0,74742,2485,0
B,1,matplotlib__matplotlib-22719,matplotlib,0,1,0,0,0,30920,1099,0
B,1,matplotlib__matplotlib-22865,matplotlib,1,1,0,0,0,78864,3192,0
B,1,matplotlib__matplotlib-22871,matplotlib,0,0,0,0,0,47565,2459,0
B,1,matplotlib__matplotlib-23299,matplotlib,0,1,0,0,0,36611,2325,0
B,1,matplotlib__matplotlib-23314,matplotlib,0,0,0,0,0,43381,2671,0
B,1,matplotlib__matplotlib-23412,matplotlib,1,1,0,0,0,17648,2300,0
B,1,matplotlib__matplotlib-23476,matplotlib,0,1,0,0,0,53849,2514,0
B,1,matplotlib__matplotlib-24026,matplotlib,1,1,0,0,0,57818,3157,0
B,1,matplotlib__matplotlib-24149,matplotlib,0,1,0,0,0,29840,2077,0
B,1,matplotlib__matplotlib-24177,matplotlib,0,0,0,0,0,33731,2247,0
B,1,matplotlib__matplotlib-24570,matplotlib,0,0,0,0,0,50819,3120,0
B,1,matplotlib__matplotlib-24627,matplotlib,1,1,0,0,0,49747,2887,0
B,1,matplotlib__matplotlib-24637,matplotlib,0,0,0,0,0,39684,2049,0
B,1,matplotlib__matplotlib-24870,matplotlib,0,1,0,0,0,43981,3907,0
B,1,matplotlib__matplotlib-24970,matplotlib,1,1,0,0,0,25772,1608,0
B,1,matplotlib__matplotlib-25122,matplotlib,1,1,0,0,0,24898,1785,0
B,1,matplotlib__matplotlib-25287,matplotlib,1,1,0,0,0,11115,972,0
B,1,matplotlib__matplotlib-25311,matplotlib,0,1,0,0,0,37183,3330,0
B,1,matplotlib__matplotlib-25332,matplotlib,0,0,0,0,0,55589,4416,0
B,1,matplotlib__matplotlib-25479,matplotlib,1,1,0,0,0,46061,3769,0
B,1,matplotlib__matplotlib-25775,matplotlib,1,1,0,0,0,22564,1472,0
B,1,matplotlib__matplotlib-25960,matplotlib,1,1,0,0,0,22496,1748,0
B,1,matplotlib__matplotlib-26113,matplotlib,1,1,0,0,0,14990,582,0
B,1,matplotlib__matplotlib-26208,matplotlib,1,1,0,0,0,103143,4069,0
B,1,matplotlib__matplotlib-26291,matplotlib,1,1,0,0,0,18948,1251,0
B,1,matplotlib__matplotlib-26342,matplotlib,0,0,0,0,0,75837,3264,0
B,1,matplotlib__matplotlib-26466,matplotlib,0,1,0,0,0,4607,1086,0
B,1,pydata__xarray-3993,xarray,1,1,0,0,0,8082,830,0
B,1,pydata__xarray-4075,xarray,1,1,0,0,0,39165,2911,0
B,1,pydata__xarray-4094,xarray,1,1,0,0,0,28113,2195,0
B,1,pydata__xarray-4356,xarray,1,1,0,0,0,7375,1509,0
B,1,pydata__xarray-4695,xarray,0,1,0,0,0,48225,2259,0
B,1,pydata__xarray-4966,xarray,0,0,0,0,0,13174,766,0
B,1,pydata__xarray-6599,xarray,0,0,0,0,0,86537,3057,0
B,1,pydata__xarray-6721,xarray,1,1,0,0,0,36535,2559,0
B,1,pydata__xarray-6744,xarray,1,1,0,0,0,25650,3171,0
B,1,pydata__xarray-6938,xarray,0,1,0,0,0,19295,1378,0
B,1,pydata__xarray-6992,xarray,1,1,0,0,0,15716,2034,0
B,1,pydata__xarray-7233,xarray,1,1,0,0,0,30887,1587,0
B,1,pytest-dev__pytest-10051,pytest,0,0,0,0,0,90458,5069,0
B,1,pytest-dev__pytest-10081,pytest,0,1,0,0,0,41965,1725,0
B,1,pytest-dev__pytest-10356,pytest,0,0,0,0,0,25087,2577,0
B,1,pytest-dev__pytest-5262,pytest,1,1,0,0,0,42861,3980,0
B,1,pytest-dev__pytest-5631,pytest,0,0,0,0,0,29706,2275,0
B,1,pytest-dev__pytest-5787,pytest,0,1,0,0,0,21477,1703,0
B,1,pytest-dev__pytest-5809,pytest,1,1,0,0,0,17740,1306,0
B,1,pytest-dev__pytest-5840,pytest,0,1,0,0,0,11018,1307,0
B,1,pytest-dev__pytest-6197,pytest,0,1,0,0,0,16348,1410,0
B,1,pytest-dev__pytest-6202,pytest,1,1,0,0,0,15219,1222,0
B,1,pytest-dev__pytest-7205,pytest,0,0,0,0,0,20192,1822,0
B,1,pytest-dev__pytest-7236,pytest,1,1,0,0,0,33706,2708,0
B,1,pytest-dev__pytest-7324,pytest,0,1,0,0,0,13742,831,0
B,1,pytest-dev__pytest-7432,pytest,0,0,0,0,0,34208,3756,0
B,1,pytest-dev__pytest-7490,pytest,0,0,0,0,0,90973,2080,0
B,1,pytest-dev__pytest-7521,pytest,1,1,0,0,0,27320,2638,0
B,1,pytest-dev__pytest-7571,pytest,0,1,0,0,0,17044,1142,0
B,1,pytest-dev__pytest-7982,pytest,1,1,0,0,0,7615,530,0
B,1,pytest-dev__pytest-8399,pytest,0,0,0,0,0,28575,1761,0
B,1,scikit-learn__scikit-learn-10297,scikit-learn,1,1,0,0,0,15788,2054,0
B,1,scikit-learn__scikit-learn-10844,scikit-learn,1,1,0,0,0,5565,1070,0
B,1,scikit-learn__scikit-learn-10908,scikit-learn,1,1,0,0,0,15526,1821,0
B,1,scikit-learn__scikit-learn-11310,scikit-learn,1,1,0,0,0,27487,2515,0
B,1,scikit-learn__scikit-learn-11578,scikit-learn,1,1,0,0,0,20829,1168,0
B,1,scikit-learn__scikit-learn-12585,scikit-learn,1,1,0,0,0,5149,770,0
B,1,scikit-learn__scikit-learn-12682,scikit-learn,0,0,0,0,0,80538,4597,0
B,1,scikit-learn__scikit-learn-12973,scikit-learn,1,1,0,0,0,11509,1153,0
B,1,scikit-learn__scikit-learn-13124,scikit-learn,1,1,0,0,0,57278,2449,0
B,1,scikit-learn__scikit-learn-13135,scikit-learn,1,1,0,0,0,20329,1245,0
B,1,scikit-learn__scikit-learn-13142,scikit-learn,0,1,0,0,0,67672,3127,0
B,1,scikit-learn__scikit-learn-13328,scikit-learn,1,1,0,0,0,12567,1409,0
B,1,scikit-learn__scikit-learn-13439,scikit-learn,1,1,0,0,0,29140,2954,0
B,1,scikit-learn__scikit-learn-13496,scikit-learn,1,1,0,0,0,37995,3584,0
B,1,scikit-learn__scikit-learn-13779,scikit-learn,1,1,0,0,0,17371,2078,0
B,1,scikit-learn__scikit-learn-14053,scikit-learn,1,1,0,0,0,56311,3577,0
B,1,scikit-learn__scikit-learn-14087,scikit-learn,1,1,0,0,0,46913,4320,0
B,1,scikit-learn__scikit-learn-14141,scikit-learn,0,0,0,0,0,19291,1221,0
B,1,scikit-learn__scikit-learn-14496,scikit-learn,1,1,0,0,0,56870,2984,0
B,1,scikit-learn__scikit-learn-14629,scikit-learn,0,1,0,0,0,9825,1536,0
B,1,scikit-learn__scikit-learn-14710,scikit-learn,0,0,0,0,0,28912,3053,0
B,1,scikit-learn__scikit-learn-14894,scikit-learn,1,1,0,0,0,18273,2073,0
B,1,scikit-learn__scikit-learn-14983,scikit-learn,0,0,0,0,0,20818,1599,0
B,1,scikit-learn__scikit-learn-15100,scikit-learn,1,1,0,0,0,15026,1650,0
B,1,scikit-learn__scikit-learn-25102,scikit-learn,0,1,0,0,0,27553,3462,0
B,1,scikit-learn__scikit-learn-25232,scikit-learn,0,0,0,0,0,22323,3092,0
B,1,scikit-learn__scikit-learn-25747,scikit-learn,1,1,0,0,0,21373,4093,0
B,1,scikit-learn__scikit-learn-25931,scikit-learn,1,1,0,0,0,22463,1847,0
B,1,scikit-learn__scikit-learn-25973,scikit-learn,0,0,0,0,0,26386,3261,0
B,1,scikit-learn__scikit-learn-26194,scikit-learn,0,0,0,0,0,9947,1442,0
B,1,scikit-learn__scikit-learn-26323,scikit-learn,0,0,0,0,0,37304,3963,0
B,1,scikit-learn__scikit-learn-9288,scikit-learn,0,1,0,0,0,20562,1257,0
B,1,sphinx-doc__sphinx-10614,sphinx,0,0,0,0,0,144099,2269,0
B,1,sphinx-doc__sphinx-10673,sphinx,0,0,0,0,0,54046,3365,0
B,1,sphinx-doc__sphinx-11445,sphinx,1,1,0,0,0,32382,4805,0
B,1,sphinx-doc__sphinx-11510,sphinx,0,0,0,0,0,15012,1874,0
B,1,sphinx-doc__sphinx-7440,sphinx,0,0,0,0,0,9669,926,0
B,1,sphinx-doc__sphinx-7590,sphinx,0,0,0,0,0,26601,2406,0
B,1,sphinx-doc__sphinx-7748,sphinx,1,1,0,0,0,50954,4150,0
B,1,sphinx-doc__sphinx-7757,sphinx,1,1,0,0,0,48689,2315,0
B,1,sphinx-doc__sphinx-7910,sphinx,1,1,0,0,0,8971,723,0
B,1,sphinx-doc__sphinx-7985,sphinx,1,1,0,0,0,39337,2729,0
B,1,sphinx-doc__sphinx-8056,sphinx,1,1,0,0,0,47922,4117,0
B,1,sphinx-doc__sphinx-8120,sphinx,0,0,0,0,0,49773,3738,0
B,1,sphinx-doc__sphinx-8265,sphinx,0,0,0,0,0,152521,13060,0
B,1,sphinx-doc__sphinx-8269,sphinx,1,1,0,0,0,26476,2077,0
B,1,sphinx-doc__sphinx-8475,sphinx,1,1,0,0,0,68816,2968,0
B,1,sphinx-doc__sphinx-8548,sphinx,0,1,0,0,0,52319,3263,0
B,1,sphinx-doc__sphinx-8551,sphinx,0,1,0,0,0,45282,2246,0
B,1,sphinx-doc__sphinx-8621,sphinx,0,0,0,0,0,22378,3430,0
B,1,sphinx-doc__sphinx-8638,sphinx,0,1,0,0,0,61648,3695,0
B,1,sphinx-doc__sphinx-8721,sphinx,1,1,0,0,0,9520,1679,0
B,1,sphinx-doc__sphinx-9229,sphinx,0,1,0,0,0,48068,2944,0
B,1,sphinx-doc__sphinx-9258,sphinx,0,1,0,0,0,10027,927,0
B,1,sphinx-doc__sphinx-9281,sphinx,1,1,0,0,0,18367,2453,0
B,1,sphinx-doc__sphinx-9320,sphinx,0,0,0,0,0,27471,2061,0
B,1,sphinx-doc__sphinx-9367,sphinx,0,1,0,0,0,9060,1173,0
B,1,sphinx-doc__sphinx-9461,sphinx,1,1,0,0,0,35553,2331,0
B,1,sphinx-doc__sphinx-9698,sphinx,1,1,0,0,0,31885,1847,0
B,1,sphinx-doc__sphinx-9711,sphinx,0,0,0,0,0,41011,3988,0
B,1,sympy__sympy-11618,sympy,0,0,0,0,0,81860,3216,0
B,1,sympy__sympy-12096,sympy,0,0,0,0,0,26104,1567,0
B,1,sympy__sympy-12419,sympy,0,0,0,0,0,39908,2538,0
B,1,sympy__sympy-12481,sympy,1,1,0,0,0,49739,3688,0
B,1,sympy__sympy-12489,sympy,0,1,0,0,0,15159,830,0
B,1,sympy__sympy-13031,sympy,0,0,0,0,0,57682,3946,0
B,1,sympy__sympy-13091,sympy,1,1,0,0,0,4978,486,0
B,1,sympy__sympy-13372,sympy,1,1,0,0,0,22607,2645,0
B,1,sympy__sympy-13615,sympy,1,1,0,0,0,30748,1393,0
B,1,sympy__sympy-13757,sympy,1,1,0,0,0,25927,1823,0
B,1,sympy__sympy-13798,sympy,0,1,0,0,0,22325,1001,0
B,1,sympy__sympy-13852,sympy,0,1,0,0,0,24590,1004,0
B,1,sympy__sympy-13877,sympy,1,1,0,0,0,33326,1992,0
B,1,sympy__sympy-13974,sympy,1,1,0,0,0,7364,1145,0
B,1,sympy__sympy-14248,sympy,0,0,0,0,0,128531,4664,0
B,1,sympy__sympy-14711,sympy,1,1,0,0,0,6932,1188,0
B,1,sympy__sympy-14976,sympy,0,1,0,0,0,58195,4739,0
B,1,sympy__sympy-15017,sympy,0,1,0,0,0,8266,647,0
B,1,sympy__sympy-15345,sympy,1,1,0,0,0,13300,1668,0
B,1,sympy__sympy-15349,sympy,1,1,0,0,0,14104,1192,0
B,1,sympy__sympy-15875,sympy,0,1,0,0,0,15101,1636,0
B,1,sympy__sympy-15976,sympy,1,1,0,0,0,16974,1766,0
B,1,sympy__sympy-16450,sympy,1,1,0,0,0,37546,3211,0
B,1,sympy__sympy-16597,sympy,0,1,0,0,0,18502,1385,0
B,1,sympy__sympy-16766,sympy,1,1,0,0,0,4469,724,0
B,1,sympy__sympy-16792,sympy,0,0,0,0,0,44055,2843,0
B,1,sympy__sympy-16886,sympy,1,1,0,0,0,15388,905,0
B,1,sympy__sympy-17318,sympy,0,0,0,0,0,16433,1101,0
B,1,sympy__sympy-17630,sympy,0,1,0,0,0,17706,2153,0
B,1,sympy__sympy-18189,sympy,0,0,0,0,0,24826,1629,0
B,1,sympy__sympy-18199,sympy,1,1,0,0,0,11471,1719,0
B,1,sympy__sympy-18211,sympy,0,1,0,0,0,58099,2402,0
B,1,sympy__sympy-18698,sympy,0,1,0,0,0,25526,1541,0
B,1,sympy__sympy-18763,sympy,0,0,0,0,0,35148,1445,0
B,1,sympy__sympy-19040,sympy,0,1,0,0,0,18124,1240,0
B,1,sympy__sympy-19346,sympy,0,1,0,0,0,36773,2961,0
B,1,sympy__sympy-19495,sympy,1,1,0,0,0,58296,4101,0
B,1,sympy__sympy-19637,sympy,1,1,0,0,0,35118,3483,0
B,1,sympy__sympy-19783,sympy,0,0,0,0,0,39139,3434,0
B,1,sympy__sympy-19954,sympy,1,1,0,0,0,15646,1804,0
B,1,sympy__sympy-20154,sympy,1,1,0,0,0,9591,1557,0
B,1,sympy__sympy-20428,sympy,0,1,0,0,0,39073,2764,0
B,1,sympy__sympy-20590,sympy,0,1,0,0,0,9673,1376,0
B,1,sympy__sympy-20801,sympy,1,1,0,0,0,23901,2574,0
B,1,sympy__sympy-20916,sympy,0,1,0,0,0,19351,2047,0
B,1,sympy__sympy-21379,sympy,0,0,0,0,0,99400,4281,0
B,1,sympy__sympy-21596,sympy,0,1,0,0,0,95045,4607,0
B,1,sympy__sympy-21612,sympy,0,1,0,0,0,114620,4972,0
B,1,sympy__sympy-21847,sympy,0,0,0,0,0,61117,3441,0
B,1,sympy__sympy-21930,sympy,0,0,0,0,0,35012,2073,0
B,1,sympy__sympy-22080,sympy,0,0,0,0,0,37797,2403,0
B,1,sympy__sympy-22456,sympy,1,1,0,0,0,23396,2548,0
B,1,sympy__sympy-22714,sympy,0,1,0,0,0,19753,2457,0
B,1,sympy__sympy-23262,sympy,0,0,0,0,0,47167,2300,0
B,1,sympy__sympy-23413,sympy,1,1,0,0,0,15880,1335,0
B,1,sympy__sympy-24066,sympy,0,0,0,0,0,44689,5396,0
B,1,sympy__sympy-24443,sympy,0,0,0,0,0,43644,4150,0
B,1,sympy__sympy-24539,sympy,1,1,0,0,0,37185,4943,0
B,1,sympy__sympy-24562,sympy,0,0,0,0,0,38817,2173,0
B,1,sympy__sympy-24661,sympy,1,1,0,0,0,42575,2375,0
B,2,astropy__astropy-12907,astropy,1,1,0,0,0,72619,6013,0
B,2,astropy__astropy-13033,astropy,0,1,0,0,0,64377,3381,0
B,2,astropy__astropy-13236,astropy,1,1,0,0,0,16596,2356,0
B,2,astropy__astropy-13398,astropy,0,1,0,0,0,80706,5644,0
B,2,astropy__astropy-13453,astropy,0,1,0,0,0,95295,6126,0
B,2,astropy__astropy-13579,astropy,0,0,0,0,0,68435,2749,0
B,2,astropy__astropy-13977,astropy,1,1,0,0,0,6856,1045,0
B,2,astropy__astropy-14096,astropy,1,1,0,0,0,30926,3176,0
B,2,astropy__astropy-14182,astropy,1,1,0,0,0,38998,2366,0
B,2,astropy__astropy-14309,astropy,1,1,0,0,0,10424,613,0
B,2,astropy__astropy-14365,astropy,1,1,0,0,0,23089,1616,0
B,2,astropy__astropy-14369,astropy,0,1,0,0,0,26643,1448,0
B,2,astropy__astropy-14508,astropy,1,1,0,0,0,59774,5297,0
B,2,astropy__astropy-14539,astropy,1,1,0,0,0,21020,2283,0
B,2,astropy__astropy-14598,astropy,0,1,0,0,0,19723,1357,0
B,2,astropy__astropy-14995,astropy,0,0,0,0,0,90117,6451,0
B,2,astropy__astropy-7166,astropy,0,0,0,0,0,38288,2776,0
B,2,astropy__astropy-7336,astropy,1,1,0,0,0,4540,927,0
B,2,astropy__astropy-7606,astropy,1,1,0,0,0,6114,776,0
B,2,astropy__astropy-7671,astropy,1,1,0,0,0,10029,1068,0
B,2,astropy__astropy-8707,astropy,1,1,0,0,0,15825,2511,0
B,2,astropy__astropy-8872,astropy,1,1,0,0,0,74997,3515,0
B,2,django__django-11087,django,0,0,0,0,0,84738,2618,0
B,2,django__django-11149,django,1,1,0,0,0,29871,3080,0
B,2,django__django-11206,django,1,1,0,0,0,23959,2853,0
B,2,django__django-11265,django,0,0,0,0,0,25795,2003,0
B,2,django__django-11555,django,0,1,0,0,0,30706,2472,0
B,2,django__django-11740,django,0,1,0,0,0,72989,3446,0
B,2,django__django-11790,django,1,1,0,0,0,25516,1860,0
B,2,django__django-11880,django,1,1,0,0,0,15839,1832,0
B,2,django__django-11885,django,1,1,0,0,0,29449,1660,0
B,2,django__django-11964,django,1,1,0,0,0,39782,1974,0
B,2,django__django-12039,django,1,1,0,0,0,13062,2280,0
B,2,django__django-12209,django,0,1,0,0,0,87500,7290,0
B,2,django__django-12276,django,1,1,0,0,0,38619,2456,0
B,2,django__django-12663,django,0,1,0,0,0,40002,2411,0
B,2,django__django-12708,django,1,1,0,0,0,13849,1562,0
B,2,django__django-12754,django,0,1,0,0,0,16651,1978,0
B,2,django__django-12774,django,1,1,0,0,0,62455,5073,0
B,2,django__django-13112,django,0,0,0,0,0,51524,3535,0
B,2,django__django-13121,django,1,1,0,0,0,72415,5262,0
B,2,django__django-13279,django,1,1,0,0,0,17572,2005,0
B,2,django__django-13344,django,0,1,0,0,0,28194,3382,0
B,2,django__django-13363,django,1,1,0,0,0,19743,1936,0
B,2,django__django-13410,django,0,0,0,0,0,19248,1718,0
B,2,django__django-13417,django,1,1,0,0,0,18913,2039,0
B,2,django__django-13512,django,1,1,0,0,0,10648,1101,0
B,2,django__django-13568,django,1,1,0,0,0,14697,3301,0
B,2,django__django-13807,django,1,1,0,0,0,52522,4501,0
B,2,django__django-13809,django,0,1,0,0,0,15785,2052,0
B,2,django__django-13821,django,0,1,0,0,0,8392,634,0
B,2,django__django-14122,django,0,0,0,0,0,34845,2418,0
B,2,django__django-14140,django,0,0,0,0,0,55014,3245,0
B,2,django__django-14373,django,1,1,0,0,0,20973,2058,0
B,2,django__django-14434,django,1,1,0,0,0,15962,1795,0
B,2,django__django-14539,django,1,1,0,0,0,28264,1464,0
B,2,django__django-14608,django,1,1,0,0,0,56821,3169,0
B,2,django__django-14672,django,1,1,0,0,0,31170,1617,0
B,2,django__django-14725,django,1,1,0,0,0,25505,2479,0
B,2,django__django-14752,django,1,1,0,0,0,21153,1818,0
B,2,django__django-14787,django,0,0,0,0,0,21331,1700,0
B,2,django__django-14915,django,1,1,0,0,0,15450,1793,0
B,2,django__django-14999,django,0,1,0,0,0,56138,2893,0
B,2,django__django-15037,django,0,1,0,0,0,34747,2523,0
B,2,django__django-15128,django,1,1,0,0,0,9884,701,0
B,2,django__django-15277,django,0,1,0,0,0,15266,1321,0
B,2,django__django-15280,django,0,1,0,0,0,35072,3100,0
B,2,django__django-15315,django,0,0,0,0,0,48888,2617,0
B,2,django__django-15375,django,1,1,0,0,0,24612,2635,0
B,2,django__django-15563,django,0,0,0,0,0,53861,3094,0
B,2,django__django-15695,django,0,1,0,0,0,24892,2068,0
B,2,django__django-15731,django,1,1,0,0,0,15706,1847,0
B,2,django__django-15814,django,1,1,0,0,0,7119,623,0
B,2,django__django-15957,django,0,1,0,0,0,23283,1909,0
B,2,django__django-16100,django,0,0,0,0,0,31692,2652,0
B,2,django__django-16116,django,1,1,0,0,0,14606,2519,0
B,2,django__django-16136,django,0,1,0,0,0,19861,1864,0
B,2,django__django-16454,django,1,1,0,0,0,37170,4122,0
B,2,django__django-16502,django,0,1,0,0,0,64564,3132,0
B,2,django__django-16631,django,0,0,0,0,0,57835,3083,0
B,2,django__django-16667,django,1,1,0,0,0,8254,933,0
B,2,django__django-17084,django,0,0,0,0,0,42212,1914,0
B,2,matplotlib__matplotlib-13989,matplotlib,1,1,0,0,0,31934,1895,0
B,2,matplotlib__matplotlib-14623,matplotlib,0,0,0,0,0,68486,2360,0
B,2,matplotlib__matplotlib-20488,matplotlib,0,0,0,0,0,25375,2601,0
B,2,matplotlib__matplotlib-20676,matplotlib,0,0,0,0,0,128195,6710,0
B,2,matplotlib__matplotlib-20826,matplotlib,0,0,0,0,0,67949,2432,0
B,2,matplotlib__matplotlib-20859,matplotlib,0,0,0,0,0,70579,4919,0
B,2,matplotlib__matplotlib-21568,matplotlib,1,1,0,0,0,74742,2485,0
B,2,matplotlib__matplotlib-22719,matplotlib,0,1,0,0,0,30920,1099,0
B,2,matplotlib__matplotlib-22865,matplotlib,1,1,0,0,0,78864,3192,0
B,2,matplotlib__matplotlib-22871,matplotlib,0,0,0,0,0,47565,2459,0
B,2,matplotlib__matplotlib-23299,matplotlib,0,1,0,0,0,36611,2325,0
B,2,matplotlib__matplotlib-23314,matplotlib,0,0,0,0,0,43381,2671,0
B,2,matplotlib__matplotlib-23412,matplotlib,1,1,0,0,0,17648,2300,0
B,2,matplotlib__matplotlib-23476,matplotlib,0,1,0,0,0,53849,2514,0
B,2,matplotlib__matplotlib-24026,matplotlib,1,1,0,0,0,57818,3157,0
B,2,matplotlib__matplotlib-24149,matplotlib,0,1,0,0,0,29840,2077,0
B,2,matplotlib__matplotlib-24177,matplotlib,0,0,0,0,0,33731,2247,0
B,2,matplotlib__matplotlib-24570,matplotlib,0,0,0,0,0,50819,3120,0
B,2,matplotlib__matplotlib-24627,matplotlib,1,1,0,0,0,49747,2887,0
B,2,matplotlib__matplotlib-24637,matplotlib,0,0,0,0,0,39684,2049,0
B,2,matplotlib__matplotlib-24870,matplotlib,0,1,0,0,0,43981,3907,0
B,2,matplotlib__matplotlib-24970,matplotlib,1,1,0,0,0,25772,1608,0
B,2,matplotlib__matplotlib-25122,matplotlib,1,1,0,0,0,24898,1785,0
