pair,rep,arm,iid,nonempty,gold_hit,resolved
13343_16493,3,D,django__django-16493,False,False,False
13343_16493,3,B,django__django-16493,False,False,False
13343_16493,3,E,django__django-16493,False,False,False
15161_17087,3,D,django__django-17087,False,False,False
15161_17087,3,B,django__django-17087,True,False,False
15161_17087,3,E,django__django-17087,True,False,False
3305_4687,4,D,pydata__xarray-4687,True,True,False
3305_4687,4,B,pydata__xarray-4687,False,False,False
3305_4687,4,E,pydata__xarray-4687,True,True,False
4687_6461,4,D,pydata__xarray-6461,True,False,False
4687_6461,4,B,pydata__xarray-6461,False,False,False
4687_6461,4,E,pydata__xarray-6461,False,False,False
6461_7229,4,D,pydata__xarray-7229,False,False,False
6461_7229,4,B,pydata__xarray-7229,True,True,False
6461_7229,4,E,pydata__xarray-7229,True,True,False
4629_7229,4,D,pydata__xarray-7229,False,False,False
4629_7229,4,B,pydata__xarray-7229,True,True,False
4629_7229,4,E,pydata__xarray-7229,True,True,False
13786_15499,4,D,django__django-15499,True,True,False
13786_15499,4,B,django__django-15499,True,True,False
13786_15499,4,E,django__django-15499,True,False,False
15499_16595,4,D,django__django-16595,False,False,False
15499_16595,4,B,django__django-16595,False,False,False
15499_16595,4,E,django__django-16595,True,False,False
16595_16819,4,D,django__django-16819,True,False,False
16595_16819,4,B,django__django-16819,True,False,False
16595_16819,4,E,django__django-16819,True,True,False
15268_16819,4,D,django__django-16819,True,True,False
15268_16819,4,B,django__django-16819,True,False,False
15268_16819,4,E,django__django-16819,True,True,False
11815_12125,4,D,django__django-12125,True,False,False
11815_12125,4,B,django__django-12125,True,False,False
11815_12125,4,E,django__django-12125,False,False,False
12125_14580,4,D,django__django-14580,True,False,False
12125_14580,4,B,django__django-14580,True,False,False
12125_14580,4,E,django__django-14580,True,False,False
13343_16493,4,D,django__django-16493,False,False,False
13343_16493,4,B,django__django-16493,False,False,False
13343_16493,4,E,django__django-16493,False,False,False
15161_17087,4,D,django__django-17087,False,False,False
15161_17087,4,B,django__django-17087,True,False,False
15161_17087,4,E,django__django-17087,True,False,False
3305_4687,5,D,pydata__xarray-4687,True,True,False
3305_4687,5,B,pydata__xarray-4687,False,False,False
3305_4687,5,E,pydata__xarray-4687,True,True,False
4687_6461,5,D,pydata__xarray-6461,True,False,False
4687_6461,5,B,pydata__xarray-6461,False,False,False
4687_6461,5,E,pydata__xarray-6461,False,False,False
6461_7229,5,D,pydata__xarray-7229,False,False,False
6461_7229,5,B,pydata__xarray-7229,True,True,False
6461_7229,5,E,pydata__xarray-7229,True,True,False
4629_7229,5,D,pydata__xarray-7229,False,False,False
4629_7229,5,B,pydata__xarray-7229,True,True,False
4629_7229,5,E,pydata__xarray-7229,True,True,False
13786_15499,5,D,django__django-15499,True,True,False
13786_15499,5,B,django__django-15499,True,True,False
13786_15499,5,E,django__django-15499,True,False,False
15499_16595,5,D,django__django-16595,False,False,False
15499_16595,5,B,django__django-16595,False,False,False
15499_16595,5,E,django__django-16595,True,False,False
16595_16819,5,D,django__django-16819,True,False,False
16595_16819,5,B,django__django-16819,True,False,False
16595_16819,5,E,django__django-16819,True,True,False
15268_16819,5,D,django__django-16819,True,True,False
15268_16819,5,B,django__django-16819,True,False,False
15268_16819,5,E,django__django-16819,True,True,False
11815_12125,5,D,django__django-12125,True,False,False
11815_12125,5,B,django__django-12125,True,False,False
11815_12125,5,E,django__django-12125,False,False,False
12125_14580,5,D,django__django-14580,True,False,False
12125_14580,5,B,django__django-14580,True,False,False
12125_14580,5,E,django__django-14580,True,False,False
13343_16493,5,D,django__django-16493,False,False,False
13343_16493,5,B,django__django-16493,False,False,False
13343_16493,5,E,django__django-16493,False,False,False
15161_17087,5,D,django__django-17087,False,False,False
15161_17087,5,B,django__django-17087,True,False,False
15161_17087,5,E,django__django-17087,True,False,False
